	Kingdom	Phylum	Class	Order	Family	Genus	Species
FASV863	Fungi	Aphelidiomycota	Aphelidiomycetes	GS16	NA	NA	NA
FASV864	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	ligusticum
FASV865	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	NA	NA
FASV866	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV868	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Conocybe	NA
FASV869	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	furcatum
FASV870	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	verrucispermus
FASV871	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	tubakii
FASV872	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
FASV873	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV875	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA
FASV876	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
FASV877	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pilosum
FASV878	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Boeremia	exigua
FASV879	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae	NA	NA
FASV880	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	dimennae
FASV881	Fungi	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	NA	NA
FASV882	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Acremonium	acutatum
FASV883	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	vinaceum
FASV884	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	caninus
FASV885	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Articulospora	proliferata
FASV887	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Madurella	NA
FASV888	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Sarocladium	dejongiae
FASV889	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	tephrensis
FASV890	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Serendipitaceae	NA	NA
FASV891	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Papulaspora	funabasensis
FASV892	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	piscis
FASV893	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	solani
FASV894	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	chlamydosporus
FASV895	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pseudomerdarium
FASV896	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	NA
FASV897	Fungi	Ascomycota	Sordariomycetes	Sordariales	Cephalothecaceae	Phialemonium	inflatum
FASV898	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	armeniacum
FASV899	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	NA	NA	NA
FASV900	Fungi	NA	NA	NA	NA	NA	NA
FASV901	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
FASV902	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	glutinans
FASV903	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	grisea
FASV904	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Cephaliophora	NA
FASV905	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	caninus
FASV906	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Dominikia	iranica
FASV907	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	brasilianum
FASV908	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	flavescens
FASV909	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV910	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV911	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	NA	NA
FASV912	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	piscis
FASV913	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	penicillioides
FASV914	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	NA	NA
FASV915	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Cephalotrichum	asperulum
FASV916	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	simplicissimum
FASV917	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	phaseolina
FASV918	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV919	Fungi	Ascomycota	Dothideomycetes	Pleosporales	NA	NA	NA
FASV920	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	solani
FASV921	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA
FASV922	Fungi	NA	NA	NA	NA	NA	NA
FASV923	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	nigrum
FASV924	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	inflorescentiae
FASV926	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	communis
FASV927	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Subulicystidium	NA
FASV928	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	pauxilla
FASV929	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	solani
FASV930	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Schizothecium	NA
FASV931	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	alpina
FASV932	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Dematiopleospora	rosicola
FASV934	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenales_fam_Incertae_sedis	Chrysosporium	pilosum
FASV935	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	wolfii
FASV937	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	NA
FASV938	Fungi	Ascomycota	NA	NA	NA	NA	NA
FASV939	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	arctiicola
FASV940	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Naganishia	albida
FASV941	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	albobiverticillius
FASV942	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	NA
FASV943	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
FASV944	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	NA
FASV945	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Sporothrix	NA
FASV946	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	NA	NA
FASV947	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Paramyrothecium	NA
FASV948	Fungi	Ascomycota	NA	NA	NA	NA	NA
FASV949	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	radicina
FASV950	Fungi	Ascomycota	Pezizomycetes	Pezizales	NA	NA	NA
