"from"	"to"	"weight"	"color"	"arrow.size"
"247"	"BASV188"	"FASV267"	1	"darkgreen"	5
"248"	"BASV188"	"FASV276"	1	"darkgreen"	5
"249"	"BASV188"	"FASV501"	1	"darkgreen"	5
"250"	"BASV200"	"BASV267"	1	"darkgreen"	5
"251"	"BASV200"	"BASV334"	1	"darkgreen"	5
"252"	"BASV200"	"BASV347"	1	"darkgreen"	5
"253"	"BASV200"	"BASV932"	1	"darkgreen"	5
"254"	"BASV200"	"BASV1231"	1	"darkgreen"	5
"255"	"BASV200"	"BASV1722"	1	"darkgreen"	5
"256"	"BASV200"	"BASV1998"	1	"darkgreen"	5
"257"	"BASV200"	"BASV3277"	1	"darkgreen"	5
"258"	"BASV200"	"FASV14"	1	"darkred"	5
"259"	"BASV201"	"BASV306"	1	"darkgreen"	5
"260"	"BASV201"	"BASV3377"	1	"darkgreen"	5
"261"	"BASV201"	"BASV3490"	1	"darkgreen"	5
"262"	"BASV201"	"BASV4800"	1	"darkgreen"	5
"263"	"BASV201"	"BASV14162"	1	"darkgreen"	5
"264"	"BASV201"	"FASV125"	1	"darkgreen"	5
"265"	"BASV201"	"FASV211"	1	"darkgreen"	5
"266"	"BASV201"	"FASV656"	1	"darkgreen"	5
"267"	"BASV210"	"BASV878"	1	"darkgreen"	5
"268"	"BASV210"	"BASV1076"	1	"darkgreen"	5
"269"	"BASV210"	"BASV7235"	1	"darkgreen"	5
"270"	"BASV210"	"BASV7379"	1	"darkgreen"	5
"271"	"BASV210"	"BASV7665"	1	"darkgreen"	5
"272"	"BASV210"	"BASV13257"	1	"darkgreen"	5
"273"	"BASV210"	"BASV13784"	1	"darkgreen"	5
"274"	"BASV210"	"FASV365"	1	"darkgreen"	5
"275"	"BASV210"	"FASV525"	1	"darkgreen"	5
"276"	"BASV210"	"FASV1289"	1	"darkgreen"	5
"277"	"BASV230"	"BASV267"	1	"darkgreen"	5
"278"	"BASV230"	"BASV359"	1	"darkgreen"	5
"279"	"BASV230"	"BASV858"	1	"darkgreen"	5
"280"	"BASV230"	"BASV2214"	1	"darkgreen"	5
"281"	"BASV230"	"BASV2534"	1	"darkgreen"	5
"282"	"BASV230"	"BASV3138"	1	"darkgreen"	5
