"Var1"	"Var2"	"rn.x"	"value"	"SampleID"	"Field"	"SampleType"	"Cultivar"	"Pathogen"	"deg.sub"	"bet.sub"	"clo.sub"	"eig.sub.vector"	"hubScore"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"rn.y"	"from"	"to"	"weight"	"color"	"arrow.size"
"26"	"FASV102"	"s1cmt3"	"20"	0.034592552941175	"s1cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"27"	"FASV102"	"s1rmr2"	"26"	3.55e-05	"s1rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"28"	"FASV102"	"s1rmr3"	"32"	0.007842348682889	"s1rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"29"	"FASV102"	"s1rmt2"	"38"	0	"s1rmt2"	"Field1"	"Root"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"30"	"FASV102"	"s1rmt3"	"44"	0.099101432037326	"s1rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"31"	"FASV102"	"s2cmr2"	"50"	0.002115016617987	"s2cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"32"	"FASV102"	"s2cmr3"	"56"	0.001874411007924	"s2cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"33"	"FASV102"	"s2cmt2"	"62"	0.000894587744148	"s2cmt2"	"Field1"	"Root"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"34"	"FASV102"	"s2cmt3"	"68"	0.042585717405547	"s2cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"35"	"FASV102"	"s2rmr2"	"74"	0.002908514013749	"s2rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"36"	"FASV102"	"s2rmr3"	"80"	0.003767730496456	"s2rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"37"	"FASV102"	"s2rmt2"	"86"	0.003929164784991	"s2rmt2"	"Field1"	"Root"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"38"	"FASV102"	"s2rmt3"	"92"	0.090342891446588	"s2rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"39"	"FASV102"	"s3cmr2"	"98"	0.00101169923278	"s3cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"40"	"FASV102"	"s3cmr3"	"104"	0.000818170649796	"s3cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"41"	"FASV102"	"s3cmt3"	"110"	0.018937889021326	"s3cmt3"	"Field1"	"Root"	"SweetAnne"	"none"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"42"	"FASV102"	"s3rmr2"	"116"	0.00550276059405	"s3rmr2"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"43"	"FASV102"	"s3rmr3"	"122"	0.019703278163866	"s3rmr3"	"Field1"	"Rhizo"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"44"	"FASV102"	"s3rmt3"	"128"	0.095789771121784	"s3rmt3"	"Field1"	"Root"	"SweetAnne"	"Mac"	2	0	0.125	0.660442249723743	0.660442249723743	"Fungi"	"Basidiomycota"	"Agaricomycetes"	"Auriculariales"	"Auriculariales_fam_Incertae_sedis"	"Oliveonia"	"pauxilla"	"4"	"FASV66"	"FASV102"	1	"darkgreen"	5
"45"	"FASV147"	"s1cmr2"	"3"	0.001089890450488	"s1cmr2"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
"46"	"FASV147"	"s1cmr3"	"9"	0.000126480880307	"s1cmr3"	"Field1"	"Rhizo"	"SweetAnne"	"none"	1	0	0.111111111111111	0.397750809962602	0.397750809962601	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Lasiosphaeriaceae"	"Schizothecium"	"carpinicola"	"6"	"FASV66"	"FASV147"	1	"darkgreen"	5
