"from"	"to"	"weight"	"color"	"arrow.size"
"412"	"BASV186"	"FASV99"	1	"darkred"	5
"413"	"BASV186"	"FASV173"	1	"darkgreen"	5
"414"	"BASV186"	"FASV187"	1	"darkgreen"	5
"415"	"BASV186"	"FASV410"	1	"darkgreen"	5
"416"	"BASV186"	"FASV485"	1	"darkgreen"	5
"417"	"BASV186"	"FASV807"	1	"darkgreen"	5
"418"	"BASV188"	"BASV338"	1	"darkgreen"	5
"419"	"BASV188"	"BASV384"	1	"darkgreen"	5
"420"	"BASV188"	"BASV840"	1	"darkgreen"	5
"421"	"BASV188"	"BASV851"	1	"darkgreen"	5
"422"	"BASV188"	"BASV1292"	1	"darkgreen"	5
"423"	"BASV188"	"BASV1374"	1	"darkgreen"	5
"424"	"BASV188"	"BASV1736"	1	"darkgreen"	5
"425"	"BASV188"	"BASV2005"	1	"darkgreen"	5
"426"	"BASV188"	"BASV6013"	1	"darkgreen"	5
"427"	"BASV188"	"FASV138"	1	"darkgreen"	5
"428"	"BASV188"	"FASV305"	1	"darkgreen"	5
"429"	"BASV188"	"FASV422"	1	"darkgreen"	5
"430"	"BASV188"	"FASV483"	1	"darkgreen"	5
"431"	"BASV188"	"FASV1221"	1	"darkgreen"	5
"432"	"BASV200"	"BASV273"	1	"darkred"	5
"433"	"BASV200"	"BASV285"	1	"darkgreen"	5
"434"	"BASV200"	"BASV517"	1	"darkgreen"	5
"435"	"BASV200"	"BASV932"	1	"darkgreen"	5
"436"	"BASV200"	"BASV3276"	1	"darkgreen"	5
"437"	"BASV200"	"BASV9345"	1	"darkgreen"	5
"438"	"BASV200"	"FASV14"	1	"darkred"	5
"439"	"BASV200"	"FASV58"	1	"darkgreen"	5
"440"	"BASV200"	"FASV60"	1	"darkred"	5
"441"	"BASV200"	"FASV171"	1	"darkgreen"	5
"442"	"BASV200"	"FASV203"	1	"darkred"	5
"443"	"BASV200"	"FASV404"	1	"darkgreen"	5
"444"	"BASV200"	"FASV810"	1	"darkgreen"	5
"445"	"BASV201"	"BASV273"	1	"darkgreen"	5
"446"	"BASV201"	"BASV294"	1	"darkgreen"	5
"447"	"BASV201"	"BASV334"	1	"darkgreen"	5
"448"	"BASV201"	"BASV442"	1	"darkgreen"	5
"449"	"BASV201"	"BASV478"	1	"darkgreen"	5
"450"	"BASV201"	"BASV729"	1	"darkgreen"	5
"451"	"BASV201"	"BASV763"	1	"darkgreen"	5
"452"	"BASV201"	"BASV952"	1	"darkgreen"	5
"453"	"BASV201"	"BASV1035"	1	"darkgreen"	5
"454"	"BASV201"	"BASV1076"	1	"darkgreen"	5
"455"	"BASV201"	"BASV2248"	1	"darkgreen"	5
"456"	"BASV201"	"BASV9661"	1	"darkgreen"	5
"457"	"BASV201"	"FASV8"	1	"darkred"	5
"458"	"BASV201"	"FASV37"	1	"darkred"	5
"459"	"BASV201"	"FASV102"	1	"darkred"	5
"460"	"BASV201"	"FASV190"	1	"darkred"	5
"461"	"BASV201"	"FASV195"	1	"darkred"	5
"462"	"BASV201"	"FASV206"	1	"darkgreen"	5
"463"	"BASV201"	"FASV247"	1	"darkgreen"	5
"464"	"BASV201"	"FASV341"	1	"darkred"	5
"465"	"BASV201"	"FASV520"	1	"darkgreen"	5
"466"	"BASV201"	"FASV587"	1	"darkgreen"	5
"467"	"BASV210"	"BASV250"	1	"darkgreen"	5
"468"	"BASV210"	"BASV262"	1	"darkgreen"	5
