"s1cmr2"	"s1cmr3"	"s1cmt2"	"s1cmt3"	"s1rmr2"	"s1rmr3"	"s1rmt2"	"s1rmt3"	"s2cmr2"	"s2cmr3"	"s2cmt2"	"s2cmt3"	"s2rmr2"	"s2rmr3"	"s2rmt2"	"s2rmt3"	"s3cmr2"	"s3cmr3"	"s3cmt3"	"s3rmr2"	"s3rmr3"	"s3rmt3"
"BASV1035"	1.77e-05	0	0	0	7.79e-05	0.000611013518674	0	0	0	0	0	0	1.65e-05	5.49e-05	0	0	1.85e-05	0	0	0	0	0
"BASV1052"	0.000141806257201	1.92e-05	0	0	0.000207846193817	0.00053463682884	0	0	0.000146109825886	0.000103913377808	0	0	0.000131910894191	0.000192112413206	0	0	7.39e-05	6.24e-05	0	0	0	0
"BASV1058"	1.77e-05	5.76e-05	0	0	0	5.73e-05	0	0	2.44e-05	4.16e-05	0	0	0	0	0	0	3.7e-05	4.16e-05	0	0	0	0
"BASV1076"	7.09e-05	7.68e-05	0	0	5.2e-05	0	0	0	7.31e-05	2.08e-05	0	0	8.24e-05	0.000164667782748	0	0	0.000129335033165	4.16e-05	0	0	0	0
"BASV1125"	0.000726757068156	7.68e-05	0	0	0.000857365549493	0.000248224241961	0	0.000252525252525	0.0005113843906	4.16e-05	0.000145137880987	0	0.000395732682573	0.000823338913742	0	0	0.00053581656597	0.000103980368506	0	0	0	0
"BASV1129"	0.000212680475051	0.000345577637844	0	0	0.000623577032996	0.000420083449171	0	0	0.000243564738829	0.000394870835671	0	0	0.000626599023859	0.000658671130993	0.000155134967422	0	0.000443434399423	0.000187176442208	0	0	0	0
"BASV1137"	0	9.6e-05	0.00014905351021	0	0.000103923096908	9.55e-05	0	0	9.74e-05	0.000207826755617	0	0	3.3e-05	5.49e-05	0	0	7.39e-05	6.24e-05	0	0	0	0
"BASV1167"	0.000709031286005	0.000364767316848	0.00014905351021	0	0.00044167316186	0.000152753379669	0	0.000252525252525	0.000608790941191	0.000353305484548	0.000290275761974	0.000545256270447	0.00029679951193	5.49e-05	0.000155134967422	0	0.000388005099496	0.000103980368506	0	0	0	0
"BASV1231"	0.000443144553753	5.76e-05	0.00044716053063	0.000649561545956	0.000259807742271	0.000343695104254	0.000365430294171	0.000252525252525	0.000438329477657	0.000207826755617	0.001306240928882	0	0.000230844064834	0.00013722315229	0.00093080980453	0	0.00027714649964	0.00016636858961	0	0	0	0
"BASV1232"	8.86e-05	0.000307172477346	0	0	0.000103923096908	0.00013365920721	0	0	9.74e-05	0.000457218862356	0	0	3.3e-05	8.23e-05	0	0	9.24e-05	0.000207960737013	0	0	0	0
