"q1cmr2"	"q1cmr3"	"q1cmt2"	"q1cmt3"	"q1rmr2"	"q1rmr3"	"q1rmt2"	"q1rmt3"	"q2cmr2"	"q2cmr3"	"q2cmt2"	"q2cmt3"	"q2rmr2"	"q2rmr3"	"q2rmt2"	"q2rmt3"	"q3cmr2"	"q3cmr3"	"q3cmt2"	"q3cmt3"	"q3rmr2"	"q3rmr3"	"q3rmt2"	"q3rmt3"	"q4rmr2"	"q4rmr3"	"q4rmt2"	"q4rmt3"
"BASV230"	0.001528087031344	0.001567701478672	0.000461041954818	0	0.002076158776714	0.002851994561934	0.001482579688658	0.001808318264014	0.0013969190175	0.001238733928495	0	0.000910746812386	0.000670775924583	0.00057238006036	0.001019367991845	0	0.001118953348253	0.001661234360214	0	0	0.001333520677753	0.000589488988531	0	0	0.001736249700647	0.000778799806352	0.000496154800298	0.001023541453429
"BASV232"	0.000218296920194	0.000483858481071	0	0.004045307443366	0.000922737234095	0.00038670694864	0.00271806276254	0.000904159132007	0.0004656396725	0.000363077185938	0.000585480093677	0.006375227686703	0.00045322697607	0.000884587366011	0	0.003340757238307	0.000537958340506	0.000441593943854	0.002496878901373	0	0.000529494822717	0.000571653149452	0.003646308113036	0.002791346824843	0.00113754290732	0.000589362015618	0.001488464400893	0
"BASV236"	0.000200105510178	0.000793527908957	0	0	0.000197729407306	0.000797583081571	0	0	0.00069845950875	0.00055529451967	0.000585480093677	0	0.000308194343727	0.000763173413813	0	0	0.000494921673266	0.000967301019872	0.000624219725343	0	0.000333385629118	0.000553788988531	0	0	0.00045900854155	0.000820897093182	0	0
"BASV250"	0.000727656400648	0.000522567159557	0	0.000809061488673	0.002405707788891	0.000845921450151	0	0	0.002231190097396	0.000469864593567	0	0.000910746812386	9.06e-05	0.000156103652825	0	0	0.000753141676709	0.000378509094732	0	0	0.001588484468152	8.93e-05	0	0	0.002793965035523	0.00012629186049	0	0
"BASV260"	0.000509359480453	0.000445149802586	0	0	0.000346026462786	0.000773413897281	0	0	0.001377517364479	0.001131946520866	0	0	0.00045322697607	0.001387588025115	0	0	0.000387330005164	0.000336452528651	0	0	0.000529494822717	0.000714566436814	0	0	0.000339267182885	0.000484118798543	0	0
"BASV262"	0.001055101780939	0.0009483626229	0	0	0.00085682743166	0.000507552870091	0	0.000904159132007	0.00069845950875	0.000747511853402	0	0	0.001142131979695	0.000433621257849	0	0	0.00090377001205	0.001871517190621	0	0	0.000843269532476	0.000768158919576	0	0	0.000538836113994	0.000652507945863	0	0
"BASV267"	0.000945953320842	0.000658047534257	0.002305209774089	0.004045307443366	0.000725007826789	0.000531722054381	0.003953545836422	0	0.000523844631563	0.000384434667464	0.002341920374707	0.000455373406193	0.001794778825236	0.000468310958476	0	0	0.00088225167843	0.000651876774261	0.00187265917603	0	0.000588327580797	0.000267962413805	0	0	0.001756206593757	0.000610410659033	0.001984619201191	0
"BASV269"	0.001509887031344	0.000599984516529	0	0	0.000576710771309	0.001039274924471	0	0	0.000814869426875	0.00081158429798	0	0	0.000852066715011	0.000832552815069	0	0	0.001527801687037	0.000714961623383	0	0	0.001431597113273	0.000821751402337	0	0.000697836706211	0.000538836113994	0.000589362015618	0	0
"BASV273"	0.000472976660421	0.001393512425486	0	0	0.000346026462786	0.002223564954683	0.000247096614776	0	0.000174614877188	0.001623168595959	0	0	0.001087744742567	0.002792520900545	0.000509683995923	0.001113585746102	0.001054398347392	0.00273367679529	0	0	0.001019767806715	0.002340205080567	0	0	0.000199568931109	0.001326064535141	0	0
"BASV280"	3.64e-05	0.004490206704343	0	0	0	0.001909365558912	0	0	0.000310426448333	0.012600914100209	0	0	7.25e-05	0.001769174732022	0	0.001113585746102	2.15e-05	0.002039743454947	0	0	0.000137276435519	0.003161956482904	0	0	0	0.003473026163464	0	0
"BASV285"	9.1e-05	0.000154834713943	0	0	6.59e-05	0.000410876132931	0.000247096614776	0	1.94e-05	0	0	0	0.000108774474257	1.73e-05	0.000509683995923	0	0.000129110001721	6.31e-05	0	0	1.96e-05	0	0	0	0.00021952582422	0.000315729651224	0	0
"BASV294"	0.00014553128013	0.000987071301386	0	0	0.001103989190792	0.002924471299094	0	0	0.000388033060417	0.000918371705608	0	0	0.000616388687455	0.003486314913102	0	0	0.000172146668962	0.00029439596257	0	0	0.000470662064638	0.002018650184001	0	0	0.000778318831324	0.001831231977099	0	0
"BASV295"	0.000200105510178	0.000967716962143	0	0	0.000247161759133	0.001184290030211	0	0	0.000194016530208	0.001238733928495	0	0	0.000634517766497	0.00057238006036	0	0	0.000129110001721	0.002376195983598	0	0	0.000294163790398	0.001071849655222	0	0	0.000399137862218	0.002125912984908	0	0
